tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
-1.00;;-1.00;-1.00;18992.00;0.20;150275999#2_0;5.10;0.00;tripinfo_10551 routing_10551;24208.00;10551;1;2792.29;0.95;0.00;23420.47;DEFAULT_VEHTYPE;end;74;22890.00
-1.00;;-1.00;-1.00;19008.00;0.00;13654453_0;5.10;0.00;tripinfo_10560 routing_10560;24192.00;10560;1;963.27;1.14;0.00;24130.26;DEFAULT_VEHTYPE;end;121;23121.00
-1.00;;-1.00;-1.00;29806.00;10778.20;839709051_0;5.10;0.00;tripinfo_10571 routing_10571;13394.00;10571;2;330.74;1.07;0.00;13370.73;DEFAULT_VEHTYPE;end;66;12657.00
-1.00;;-1.00;-1.00;19254.00;219.00;33301663#0_0;5.10;0.00;tripinfo_10575 routing_10575;23946.00;10575;2;3051.92;1.09;0.00;23157.11;DEFAULT_VEHTYPE;end;100;22329.00
-1.00;;-1.00;-1.00;20078.00;1041.20;14858868_0;5.10;0.00;tripinfo_10576 routing_10576;23122.00;10576;2;1479.30;1.02;0.00;22478.41;DEFAULT_VEHTYPE;end;94;21801.00
-1.00;;-1.00;-1.00;19044.00;0.00;1188284582#2_0;5.10;0.00;tripinfo_10580 routing_10580;24156.00;10580;1;3766.18;0.97;0.00;23348.53;DEFAULT_VEHTYPE;end;98;22519.00
-1.00;;-1.00;-1.00;19062.00;0.00;-400062405_0;5.10;0.00;tripinfo_10590 routing_10590;24138.00;10590;1;2609.11;1.20;0.00;23376.25;DEFAULT_VEHTYPE;end;92;22651.00
-1.00;;-1.00;-1.00;25757.00;6668.00;-96016135_0;2.26;0.00;tripinfo_10605 routing_10605;17443.00;10605;2;2521.04;0.87;0.00;15904.91;DEFAULT_VEHTYPE;end;69;15447.00
-1.00;;-1.00;-1.00;19116.00;0.00;231945290#4_0;5.10;0.00;tripinfo_10620 routing_10620;24084.00;10620;1;3084.28;0.89;0.00;23372.93;DEFAULT_VEHTYPE;end;95;22824.00
-1.00;;-1.00;-1.00;30111.00;10991.40;839709051_0;5.10;0.00;tripinfo_10622 routing_10622;13089.00;10622;2;323.24;0.99;0.00;13064.57;DEFAULT_VEHTYPE;end;61;12355.00
-1.00;;-1.00;-1.00;19143.00;0.00;13654453_0;5.10;0.00;tripinfo_10635 routing_10635;24057.00;10635;1;955.77;0.99;0.00;23986.38;DEFAULT_VEHTYPE;end;126;22988.00
